a1,a2,a3,a4,a5,a6,a7,d
(1.5196749999999999; 1.52203],(13.405000000000001; 13.74],(3.605; inf),(-inf; 1.39],(71.645; 72.755],(-inf; 0.525],(8.42; 9.245000000000001],1.0
(1.52203; inf),(13.405000000000001; 13.74],(-inf; 3.4050000000000002],(1.39; 1.6150000000000002],(71.645; 72.755],(-inf; 0.525],(9.245000000000001; inf),5.0
(-inf; 1.51654],(13.004999999999999; 13.405000000000001],(-inf; 3.4050000000000002],(1.6150000000000002; inf),(-inf; 71.645],(0.565; inf),(-inf; 8.274999999999999],5.0
(-inf; 1.51654],(-inf; 13.004999999999999],(-inf; 3.4050000000000002],(1.6150000000000002; inf),(-inf; 71.645],(0.565; inf),(-inf; 8.274999999999999],5.0
(1.5196749999999999; 1.52203],(13.004999999999999; 13.405000000000001],(-inf; 3.4050000000000002],(1.39; 1.6150000000000002],(71.645; 72.755],(-inf; 0.525],(9.245000000000001; inf),5.0
(1.5196749999999999; 1.52203],(-inf; 13.004999999999999],(-inf; 3.4050000000000002],(1.6150000000000002; inf),(71.645; 72.755],(0.565; inf),(9.245000000000001; inf),5.0
(1.5196749999999999; 1.52203],(-inf; 13.004999999999999],(-inf; 3.4050000000000002],(1.39; 1.6150000000000002],(72.755; inf),(-inf; 0.525],(9.245000000000001; inf),5.0
(1.51654; 1.5196749999999999],(13.74; inf),(-inf; 3.4050000000000002],(1.39; 1.6150000000000002],(71.645; 72.755],(-inf; 0.525],(9.245000000000001; inf),6.0
(1.51654; 1.5196749999999999],(13.74; inf),(-inf; 3.4050000000000002],(-inf; 1.39],(72.755; inf),(-inf; 0.525],(9.245000000000001; inf),6.0
(1.51654; 1.5196749999999999],(13.74; inf),(-inf; 3.4050000000000002],(1.6150000000000002; inf),(71.645; 72.755],(-inf; 0.525],(9.245000000000001; inf),6.0
(1.51654; 1.5196749999999999],(13.74; inf),(-inf; 3.4050000000000002],(1.6150000000000002; inf),(71.645; 72.755],(-inf; 0.525],(9.245000000000001; inf),6.0
(-inf; 1.51654],(13.74; inf),(-inf; 3.4050000000000002],(1.39; 1.6150000000000002],(72.755; inf),(-inf; 0.525],(-inf; 8.274999999999999],6.0
(1.51654; 1.5196749999999999],(13.74; inf),(-inf; 3.4050000000000002],(1.6150000000000002; inf),(71.645; 72.755],(-inf; 0.525],(9.245000000000001; inf),6.0
(1.51654; 1.5196749999999999],(13.74; inf),(-inf; 3.4050000000000002],(1.6150000000000002; inf),(71.645; 72.755],(-inf; 0.525],(9.245000000000001; inf),6.0
(1.5196749999999999; 1.52203],(13.74; inf),(-inf; 3.4050000000000002],(-inf; 1.39],(72.755; inf),(-inf; 0.525],(9.245000000000001; inf),6.0
(-inf; 1.51654],(13.74; inf),(-inf; 3.4050000000000002],(-inf; 1.39],(72.755; inf),(-inf; 0.525],(-inf; 8.274999999999999],6.0
(-inf; 1.51654],(13.405000000000001; 13.74],(-inf; 3.4050000000000002],(1.6150000000000002; inf),(72.755; inf),(0.565; inf),(-inf; 8.274999999999999],7.0
(1.51654; 1.5196749999999999],(13.74; inf),(-inf; 3.4050000000000002],(1.6150000000000002; inf),(-inf; 71.645],(0.565; inf),(-inf; 8.274999999999999],7.0
(1.52203; inf),(13.405000000000001; 13.74],(-inf; 3.4050000000000002],(-inf; 1.39],(71.645; 72.755],(0.565; inf),(8.42; 9.245000000000001],7.0
(1.52203; inf),(13.74; inf),(-inf; 3.4050000000000002],(1.6150000000000002; inf),(-inf; 71.645],(0.565; inf),(9.245000000000001; inf),7.0
(1.52203; inf),(13.74; inf),(-inf; 3.4050000000000002],(-inf; 1.39],(-inf; 71.645],(-inf; 0.525],(8.42; 9.245000000000001],7.0
(-inf; 1.51654],(13.74; inf),(-inf; 3.4050000000000002],(1.6150000000000002; inf),(72.755; inf),(-inf; 0.525],(8.42; 9.245000000000001],7.0
(-inf; 1.51654],(13.74; inf),(-inf; 3.4050000000000002],(1.6150000000000002; inf),(72.755; inf),(-inf; 0.525],(8.42; 9.245000000000001],7.0
(-inf; 1.51654],(13.74; inf),(-inf; 3.4050000000000002],(1.6150000000000002; inf),(72.755; inf),(-inf; 0.525],(8.42; 9.245000000000001],7.0
(1.51654; 1.5196749999999999],(13.74; inf),(-inf; 3.4050000000000002],(1.6150000000000002; inf),(72.755; inf),(-inf; 0.525],(8.42; 9.245000000000001],7.0
(1.51654; 1.5196749999999999],(13.74; inf),(-inf; 3.4050000000000002],(1.6150000000000002; inf),(72.755; inf),(-inf; 0.525],(8.42; 9.245000000000001],7.0
(-inf; 1.51654],(13.74; inf),(-inf; 3.4050000000000002],(1.6150000000000002; inf),(72.755; inf),(-inf; 0.525],(8.42; 9.245000000000001],7.0
(-inf; 1.51654],(13.74; inf),(-inf; 3.4050000000000002],(1.6150000000000002; inf),(72.755; inf),(-inf; 0.525],(9.245000000000001; inf),7.0
(1.51654; 1.5196749999999999],(13.74; inf),(-inf; 3.4050000000000002],(1.6150000000000002; inf),(72.755; inf),(-inf; 0.525],(8.42; 9.245000000000001],7.0
(-inf; 1.51654],(13.74; inf),(-inf; 3.4050000000000002],(1.6150000000000002; inf),(72.755; inf),(-inf; 0.525],(8.42; 9.245000000000001],7.0
(-inf; 1.51654],(13.74; inf),(-inf; 3.4050000000000002],(1.6150000000000002; inf),(72.755; inf),(-inf; 0.525],(8.42; 9.245000000000001],7.0
(-inf; 1.51654],(13.74; inf),(-inf; 3.4050000000000002],(1.6150000000000002; inf),(72.755; inf),(-inf; 0.525],(8.274999999999999; 8.42],7.0
(-inf; 1.51654],(-inf; 13.004999999999999],(-inf; 3.4050000000000002],(-inf; 1.39],(72.755; inf),(0.565; inf),(8.42; 9.245000000000001],7.0
(-inf; 1.51654],(13.74; inf),(-inf; 3.4050000000000002],(1.6150000000000002; inf),(72.755; inf),(-inf; 0.525],(8.274999999999999; 8.42],7.0
(1.51654; 1.5196749999999999],(13.74; inf),(-inf; 3.4050000000000002],(1.6150000000000002; inf),(72.755; inf),(-inf; 0.525],(8.274999999999999; 8.42],7.0
(-inf; 1.51654],(13.74; inf),(-inf; 3.4050000000000002],(1.6150000000000002; inf),(72.755; inf),(-inf; 0.525],(8.42; 9.245000000000001],7.0
(1.51654; 1.5196749999999999],(13.74; inf),(-inf; 3.4050000000000002],(1.6150000000000002; inf),(72.755; inf),(-inf; 0.525],(8.42; 9.245000000000001],7.0
(-inf; 1.51654],(13.74; inf),(-inf; 3.4050000000000002],(1.6150000000000002; inf),(72.755; inf),(-inf; 0.525],(8.42; 9.245000000000001],7.0
(1.51654; 1.5196749999999999],(13.74; inf),(-inf; 3.4050000000000002],(1.6150000000000002; inf),(72.755; inf),(0.565; inf),(-inf; 8.274999999999999],7.0
(-inf; 1.51654],(13.74; inf),(-inf; 3.4050000000000002],(1.6150000000000002; inf),(72.755; inf),(-inf; 0.525],(9.245000000000001; inf),7.0
(-inf; 1.51654],(13.74; inf),(-inf; 3.4050000000000002],(1.6150000000000002; inf),(71.645; 72.755],(-inf; 0.525],(8.42; 9.245000000000001],7.0
(1.51654; 1.5196749999999999],(13.74; inf),(-inf; 3.4050000000000002],(1.6150000000000002; inf),(72.755; inf),(-inf; 0.525],(8.274999999999999; 8.42],7.0
(1.5196749999999999; 1.52203],(13.74; inf),(-inf; 3.4050000000000002],(1.6150000000000002; inf),(72.755; inf),(-inf; 0.525],(8.42; 9.245000000000001],7.0
(-inf; 1.51654],(13.74; inf),(-inf; 3.4050000000000002],(1.6150000000000002; inf),(72.755; inf),(-inf; 0.525],(8.42; 9.245000000000001],7.0
(1.51654; 1.5196749999999999],(13.74; inf),(-inf; 3.4050000000000002],(1.6150000000000002; inf),(72.755; inf),(-inf; 0.525],(8.42; 9.245000000000001],7.0
